"","county","trade_name","account","license_type","expiration_date","lat","lon","address_full","publish_date","state","expired_y_n"
"74",NA,"DOLLAR GENERAL STORE #15771","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"75",NA,"DOLLAR GENERAL STORE #16179","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"76",NA,"DOLLAR GENERAL STORE #15742","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"77",NA,"DOLLAR GENERAL #16258","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"78",NA,"DOLLAR GENERAL STORE #16221","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"79",NA,"DOLLAR GENERAL #17237","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"80",NA,"DOLLAR GENERAL #16289","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"81",NA,"# 16574","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"82",NA,"# 16563","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"83",NA,"DOLLAR GENERAL STORE #17165","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"84",NA,"DOLLAR GENERAL #16199","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"85",NA,"DOLLAR GENERAL # 16678","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"86",NA,"# 17065","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"87",NA,"# 15992","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"88",NA,"# 16874","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"89",NA,"# 18420","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"90",NA,"DOLLAR GENERAL #17367","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"91",NA,"DOLLAR GENERAL #18268","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"92",NA,"# 17464","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"93",NA,"# 16837","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"94",NA,"# 19192","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"95",NA,"# 19194","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"96",NA,"# 19198","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"97",NA,"# 19187","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"98",NA,"#19190","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"99",NA,"# 19188","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"100",NA,"# 19195","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"101",NA,"# 19199","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"102",NA,"# 19185","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"103",NA,"DOLLAR GENERAL STORE #19193","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"104",NA,"# 17381","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"105",NA,"# 19196","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"106",NA,"DOLLAR GENERAL #17983","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"107",NA,"DOLLAR GENERAL #18243","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
"108",NA,"# 17218","NJ_20_6232",NA,2024-03-31,36.3089962,-86.699098,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072",2022-04-01,"NJ","ACTIVE"
